id,chapter_id,part_label,order_index,type,stem_or_scenario,options_or_blanks,correct_answer,marks,knowledge_tags,explanation
q-u2-a1,ch-6,A,1,word_bank,"Anything that has mass and takes up space is called [blank].","matter, atom, proton, neutron, electron, nucleus, element, compound, molecule, solution, solute, solvent, concentration, physical change, chemical change",matter,1,SCI-CHEM-MATTER-PHASES,"Matter is anything that has mass and volume."
q-u2-a2,ch-7,A,2,word_bank,"The smallest unit of an element is an [blank].","matter, atom, proton, neutron, electron, nucleus, element, compound, molecule, solution, solute, solvent, concentration, physical change, chemical change",atom,1,SCI-CHEM-PERIODIC-TABLE,"An atom is the basic building block of all matter."
q-u2-a3,ch-7,A,3,word_bank,"A positively charged particle inside an atom's nucleus is a [blank].","matter, atom, proton, neutron, electron, nucleus, element, compound, molecule, solution, solute, solvent, concentration, physical change, chemical change",proton,1,SCI-CHEM-PERIODIC-TABLE,"Protons have a positive electrical charge (+1)."
q-u2-a4,ch-7,A,4,word_bank,"A negatively charged particle found around the nucleus is an [blank].","matter, atom, proton, neutron, electron, nucleus, element, compound, molecule, solution, solute, solvent, concentration, physical change, chemical change",electron,1,SCI-CHEM-PERIODIC-TABLE,"Electrons have a negative charge (-1) and orbit the nucleus."
q-u2-a5,ch-7,A,5,word_bank,"The center of an atom, containing protons and neutrons, is the [blank].","matter, atom, proton, neutron, electron, nucleus, element, compound, molecule, solution, solute, solvent, concentration, physical change, chemical change",nucleus,1,SCI-CHEM-PERIODIC-TABLE,"The nucleus holds virtually all of an atom's mass."
q-u2-a6,ch-7,A,6,word_bank,"A pure substance made of only one kind of atom is an [blank].","matter, atom, proton, neutron, electron, nucleus, element, compound, molecule, solution, solute, solvent, concentration, physical change, chemical change",element,1,SCI-CHEM-PERIODIC-TABLE,"Elements cannot be broken down chemically into simpler substances."
q-u2-a7,ch-6,A,7,word_bank,"A change that creates a new chemical substance is a [blank].","matter, atom, proton, neutron, electron, nucleus, element, compound, molecule, solution, solute, solvent, concentration, physical change, chemical change",chemical change,1,SCI-CHEM-REACTIONS,"Chemical changes involve forming or breaking chemical bonds."
q-u2-b1,ch-6,B,1,classification,"Ice melts into water.","Physical Change, Chemical Change",Physical Change,1,SCI-CHEM-MATTER-PHASES,"Melting is a change of state (solid to liquid), which is a physical change."
q-u2-b2,ch-6,B,2,classification,"Paper burns and becomes ash.","Physical Change, Chemical Change",Chemical Change,1,SCI-CHEM-REACTIONS,"Combustion creates new substances like carbon dioxide and ash."
q-u2-b3,ch-6,B,3,classification,"Water boils and becomes vapor.","Physical Change, Chemical Change",Physical Change,1,SCI-CHEM-MATTER-PHASES,"Boiling is a physical state change; the water molecules remain H2O."
q-u2-b4,ch-6,B,4,classification,"Iron rusts when exposed to oxygen and water.","Physical Change, Chemical Change",Chemical Change,1,SCI-CHEM-REACTIONS,"Rusting forms iron oxide, a completely new chemical compound."
q-u2-b5,ch-6,B,5,classification,"An apple slice turns brown when exposed to air.","Physical Change, Chemical Change",Chemical Change,1,SCI-CHEM-REACTIONS,"Enzymatic browning is a chemical oxidation reaction."
q-u2-b6,ch-8,B,6,classification,"Sugar dissolves in water.","Physical Change, Chemical Change",Physical Change,1,SCI-CHEM-SOLUTIONS,"Dissolving is physical; evaporating the water recovers the original sugar."
q-u2-b7,ch-6,B,7,classification,"Wood is cut into smaller pieces.","Physical Change, Chemical Change",Physical Change,1,SCI-CHEM-MATTER-PHASES,"Cutting changes only size and shape, not chemical composition."
q-u2-b8,ch-6,B,8,classification,"Flour, eggs, and milk are cooked into pancakes.","Physical Change, Chemical Change",Chemical Change,1,SCI-CHEM-REACTIONS,"Cooking causes irreversible chemical changes in proteins and starches."
q-u2-c1,ch-6,C,1,short_answer,"What are the three common states of matter on Earth?","solid, liquid, gas","solid, liquid, gas",1,SCI-CHEM-MATTER-PHASES,"Solid, liquid, and gas."
q-u2-c2,ch-6,C,2,short_answer,"Describe how particles move in a solid, a liquid, and a gas.","vibrate, tightly, slide, freely, fast","In solids particles vibrate in place; in liquids they slide past each other; in gases they move rapidly and freely in all directions.",2,SCI-CHEM-MATTER-PHASES,"Solid particles vibrate tightly; liquid particles flow past each other; gas particles move freely and spread out."
q-u2-c3,ch-6,C,3,short_answer,"What is the key difference between a physical change and a chemical change?","new substance, identity, chemical bonds","A physical change does not create a new substance, while a chemical change creates one or more new substances with different properties.",2,SCI-CHEM-REACTIONS,"Physical changes alter appearance without changing chemical identity; chemical changes form new substances."
q-u2-d1,ch-7,D,1,short_answer,"Refer to an oxygen atom (Atomic number = 8, Atomic mass = 16). How many protons, neutrons, and electrons does a neutral oxygen atom have?","8 protons, 8 neutrons, 8 electrons","8 protons, 8 neutrons, and 8 electrons.",3,SCI-CHEM-PERIODIC-TABLE,"Atomic number 8 means 8 protons and 8 electrons; 16 - 8 = 8 neutrons."
q-u2-d2,ch-7,D,2,short_answer,"If an oxygen atom gains 2 electrons, does it become a positive or negative ion? Explain why.","negative, electrons, protons, charge","It becomes a negative ion (-2) because it now has 10 negative electrons but only 8 positive protons.",3,SCI-CHEM-PERIODIC-TABLE,"More electrons than protons results in a net negative ion (anion)."
q-u2-e1,ch-8,E,1,short_answer,"In salt water, which is the solute and which is the solvent?","salt solute, water solvent","Salt is the solute (dissolved substance) and water is the solvent (dissolving liquid).",2,SCI-CHEM-SOLUTIONS,"The solute dissolves in the solvent."
q-u2-e2,ch-8,E,2,multiple_choice,"Is a bowl of cereal with milk a homogeneous or heterogeneous mixture?","A: Homogeneous mixture|B: Heterogeneous mixture|C: Pure compound|D: Element",B,2,SCI-CHEM-SOLUTIONS,"Heterogeneous mixtures are not uniformly mixed and components can be visually distinguished."
q-u2-f1,ch-6,F,1,multiple_choice,"{{student_name}} tests whether sugar dissolves faster in warm water or cold water. What is the independent variable?","A: Water temperature|B: Amount of sugar|C: Time to dissolve|D: Type of cup",A,2,SCI-METHOD-VARIABLES,"The independent variable is what the experimenter changes on purpose (temperature)."
q-u2-f2,ch-6,F,2,multiple_choice,"What is the dependent variable in {{student_name}}'s dissolving experiment?","A: Water temperature|B: Time it takes for sugar to dissolve|C: Amount of water|D: Brand of sugar",B,2,SCI-METHOD-VARIABLES,"The dependent variable is what is measured (dissolving time)."
q-u3-a1,ch-10,A,1,word_bank,"A push or a pull exerted on an object is a [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",force,1,SCI-PHYS-FORCES,"A force is a push or pull that can cause an object with mass to accelerate."
q-u3-a2,ch-9,A,2,word_bank,"A change in position relative to a reference point is [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",motion,1,SCI-PHYS-MOTION,"Motion is defined as change in position over time relative to a reference point."
q-u3-a3,ch-9,A,3,word_bank,"Speed in a specific direction is known as [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",velocity,1,SCI-PHYS-MOTION,"Velocity is a vector quantity combining speed and direction."
q-u3-a4,ch-9,A,4,word_bank,"The rate at which velocity changes over time is [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",acceleration,1,SCI-PHYS-MOTION,"Acceleration happens when an object speeds up, slows down, or changes direction."
q-u3-a5,ch-10,A,5,word_bank,"The combination of all forces acting on an object is the [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",net force,1,SCI-PHYS-FORCES,"Net force determines whether an object will accelerate."
q-u3-a6,ch-10,A,6,word_bank,"Matter's natural resistance to any change in its motion is [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",inertia,1,SCI-PHYS-NEWTON-LAWS,"Inertia is directly proportional to an object's mass (Newton's 1st Law)."
q-u3-a7,ch-11,A,7,word_bank,"A contact force that opposes motion between touching surfaces is [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",friction,1,SCI-PHYS-FORCES,"Friction always acts in the opposite direction of motion or intended motion."
q-u3-a8,ch-11,A,8,word_bank,"The downward force of gravity acting on an object's mass is its [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",weight,1,SCI-PHYS-FORCES,"Weight = mass * gravitational acceleration (W = mg)."
q-u3-a9,ch-12,A,9,word_bank,"Force applied over a distance in the direction of motion is [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",work,1,SCI-PHYS-WORK,"Work = Force * Distance (measured in Joules)."
q-u3-a10,ch-12,A,10,word_bank,"The fixed pivot point on which a lever turns is the [blank].","force, motion, velocity, acceleration, net force, inertia, friction, gravity, weight, work, fulcrum",fulcrum,1,SCI-PHYS-WORK,"The fulcrum supports the lever arm."
q-u3-b1,ch-10,B,1,multiple_choice,"{{student_name}} pushes a heavy box with 30 N of force, but the box does not move because friction pushes back with 30 N. The forces are:","A: Unbalanced forces|B: Balanced forces|C: Gravitational forces only|D: Accelerating forces",B,2,SCI-PHYS-FORCES,"When opposing forces are equal, net force is zero and the forces are balanced."
q-u3-b2,ch-9,B,2,multiple_choice,"{{student_name}} rides his bike at a constant speed of 10 km/h East. Then he turns in a circle at the same speed. Did {{student_name}} accelerate?","A: No, because speed did not change|B: Yes, because his direction changed|C: No, because force is zero|D: Yes, because his mass increased",B,2,SCI-PHYS-MOTION,"Acceleration is any change in velocity, which includes changing direction even at constant speed."
